更新时间,#genre#
2024-12-10 18:21:15,url
📺央视频道,#genre#
CCTV-13,http://221.233.192.152:1111/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-13,http://113.57.93.165:9900/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-13,http://58.48.5.186:1111/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-13,http://115.202.117.202:9999/rtp/233.50.201.246:5140$组播源
CCTV-13,http://123.113.237.160:8888/rtp/239.3.1.124:8128$组播源
CCTV-13,http://221.222.162.206:8888/rtp/239.3.1.124:8128$组播源
CCTV-13,http://114.243.98.12:8888/rtp/239.3.1.124:8128$组播源
CCTV-13,http://60.164.128.167:8029/rtp/239.255.29.28:8231$组播源
CCTV-13,http://111.199.234.10:18888/rtp/239.3.1.124:8128$组播源
CCTV-14,http://220.249.114.102:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-14,http://59.173.243.210:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-14,http://221.233.192.152:1111/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-14,http://58.48.5.186:1111/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-14,http://115.202.117.202:9999/rtp/233.50.201.124:5140$组播源
CCTV-14,http://123.113.237.160:8888/rtp/239.3.1.65:8132$组播源
CCTV-14,http://221.222.162.206:8888/rtp/239.3.1.65:8132$组播源
CCTV-14,http://114.243.98.12:8888/rtp/239.3.1.65:8132$组播源
CCTV-14,http://60.164.128.167:8029/rtp/239.255.30.183:8231$组播源
CCTV-14,http://111.199.234.10:18888/rtp/239.3.1.65:8132$组播源
CCTV-15,http://220.249.114.102:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-15,http://221.233.192.152:1111/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-15,http://113.57.93.165:9900/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-15,http://58.48.5.186:1111/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-15,http://115.202.117.202:9999/rtp/233.50.201.15:5140$组播源
CCTV-15,http://123.113.237.160:8888/rtp/239.3.1.153:8136$组播源
CCTV-15,http://221.222.162.206:8888/rtp/239.3.1.153:8136$组播源
CCTV-15,http://114.243.98.12:8888/rtp/239.3.1.153:8136$组播源
CCTV-15,http://60.164.128.167:8029/rtp/239.255.30.68:8231$组播源
CCTV-15,http://111.199.234.10:18888/rtp/239.3.1.153:8136$组播源
CCTV-16,http://115.202.117.202:9999/rtp/233.50.201.192:5140$组播源
CCTV-16,http://123.113.237.160:8888/rtp/239.3.1.183:8001$组播源
CCTV-16,http://123.113.237.160:8888/rtp/239.3.1.184:8001$组播源
CCTV-16,http://[2409:8087:74f0:22::5]:6410/270000001128/9900000016/index.m3u8?channel-id=newtv&livemode=4&Contentid=9900000715$订阅源-IPv6
CCTV-16,http://[2409:8087:74d9:21::6]:80/270000001128/9900000016/index.m3u8$订阅源-IPv6
CCTV-16,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000016/index.m3u8$订阅源-IPv6
CCTV-16,http://123.113.249.203:8888/udp/239.3.1.184:8001$订阅源
CCTV-16,http://123.113.249.203:8888/udp/239.3.1.183:8001$订阅源
CCTV-16,http://123.113.237.160:8888/udp/239.3.1.184:8001$订阅源
CCTV-17,http://58.48.5.186:1111/tsfile/live/0017_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-17,http://113.57.20.158:9901/tsfile/live/1047_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
